Last position of orbit,   A
-0.08035894  0.          3.53125504  1.         0.203553
  1.11078522e-03   0.00000000e+00   3.84298378e+00   1.00000000e+00 0.203554
 0.08036162  0.          2.7518918   1.         0.203555
 -1.11317057e-03   0.00000000e+00   2.44018491e+00   1.00000000e+00 0.203556
-0.08036424  0.          3.53133067  1.         0.203557
  1.11562599e-03   0.00000000e+00   3.84301731e+00   1.00000000e+00 0.203558
 0.0803669   0.          2.75181782  1.         0.203559
 -1.11800667e-03   0.00000000e+00   2.44015114e+00   1.00000000e+00 0.20356
-0.08036956  0.          3.53140549  1.         0.203561
  1.12044441e-03   0.00000000e+00   3.84305115e+00   1.00000000e+00 0.203562
 0.0803722   0.          2.75174274  1.         0.203563
 -1.12278903e-03   0.00000000e+00   2.44011731e+00   1.00000000e+00 0.203564
-0.08037488  0.          3.531481    1.         0.203565
  1.12521769e-03   0.00000000e+00   3.84308515e+00   1.00000000e+00 0.203566
 0.08037754  0.          2.75166638  1.         0.203567
 -1.12759278e-03   0.00000000e+00   2.44008370e+00   1.00000000e+00 0.203568
-0.08038015  0.          3.53155564  1.         0.203569
  1.13000077e-03   0.00000000e+00   3.84311872e+00   1.00000000e+00 0.20357
 0.08038278  0.          2.75159227  1.         0.203571
 -1.13243244e-03   0.00000000e+00   2.44004970e+00   1.00000000e+00 0.203572
-0.08038543  0.          3.53163099  1.         0.203573
  1.13479568e-03   0.00000000e+00   3.84315231e+00   1.00000000e+00 0.203574
 0.08038807  0.          2.75151712  1.         0.203575
 -1.13720519e-03   0.00000000e+00   2.44001598e+00   1.00000000e+00 0.203576
-0.08039074  0.          3.53170498  1.         0.203577
  1.13958473e-03   0.00000000e+00   3.84318589e+00   1.00000000e+00 0.203578
 0.08039331  0.          2.75144332  1.         0.203579
 -1.14198289e-03   0.00000000e+00   2.43998287e+00   1.00000000e+00 0.20358
-0.08039596  0.          3.53177982  1.         0.203581
  1.14436933e-03   0.00000000e+00   3.84321915e+00   1.00000000e+00 0.203582
 0.08039858  0.          2.75136861  1.         0.203583
 -1.14676343e-03   0.00000000e+00   2.43994933e+00   1.00000000e+00 0.203584
-0.08040124  0.          3.53185476  1.         0.203585
  1.14914691e-03   0.00000000e+00   3.84325269e+00   1.00000000e+00 0.203586
 0.08040385  0.          2.75129397  1.         0.203587
 -1.15153816e-03   0.00000000e+00   2.43991580e+00   1.00000000e+00 0.203588
-0.0804065   0.          3.53192937  1.         0.203589
  1.15391869e-03   0.00000000e+00   3.84328622e+00   1.00000000e+00 0.20359
 0.08040911  0.          2.75121941  1.         0.203591
 -1.15630710e-03   0.00000000e+00   2.43988228e+00   1.00000000e+00 0.203592
-0.08041177  0.          3.5320039   1.         0.203593
  1.15868469e-03   0.00000000e+00   3.84331973e+00   1.00000000e+00 0.203594
 0.08041437  0.          2.75114492  1.         0.203595
 -1.16105504e-03   0.00000000e+00   2.43984886e+00   1.00000000e+00 0.203596
-0.08041701  0.          3.53207808  1.         0.203597
  1.16344494e-03   0.00000000e+00   3.84335322e+00   1.00000000e+00 0.203598
